16	0.35	0.91	1.82	0.23	0.36
31	0.39	1.04	2.02	0.26	0.37
47	0.40	1.05	1.39	0.28	0.34
63	0.42	0.90	0.67	0.28	0.29
78	0.51	0.99	0.50	0.28	0.29
94	1.32	2.32	0.48	0.24	0.30
109	2.62	5.35	1.60	0.58	0.45
125	4.60	7.28	3.69	1.30	1.01
141	6.68	5.52	5.06	1.86	1.52
156	7.54	3.99	5.55	2.40	1.71
172	5.60	5.19	7.88	2.24	1.35
188	3.97	6.14	9.85	2.47	1.45
203	3.43	5.44	8.45	2.53	1.65
219	2.50	7.01	6.73	2.64	1.73
234	3.08	6.64	7.26	3.04	1.87
250	3.60	4.77	8.14	2.65	1.92
266	4.00	3.88	7.75	2.19	1.76
281	5.71	3.84	6.90	2.43	1.27
297	7.60	2.93	7.24	2.98	1.12
313	7.07	3.07	7.94	2.50	0.89
328	4.40	4.66	10.59	1.70	0.63
344	2.45	6.59	13.51	1.40	0.70
359	1.85	5.31	9.09	1.71	1.06
375	2.30	3.17	4.52	1.85	1.06
391	3.04	2.74	4.03	1.54	0.84
406	3.64	4.43	5.38	1.56	0.72
422	6.30	6.35	6.03	2.26	0.77
438	7.39	6.19	5.80	2.54	1.01
453	5.73	7.54	7.82	2.06	1.21
469	3.92	7.10	9.20	1.55	1.26
484	3.00	6.35	7.84	1.30	1.04
500	4.34	9.38	8.58	1.54	0.68
516	5.61	11.30	6.91	1.74	0.60
531	5.43	10.77	4.50	1.81	0.57
547	5.55	13.39	4.59	1.54	0.72
563	7.80	13.42	5.71	1.24	0.98
578	8.57	10.64	4.93	0.95	0.85
594	7.05	6.95	2.70	0.88	0.64
609	4.47	7.24	1.68	1.00	0.44
625	4.41	7.41	1.50	0.94	0.52
641	5.19	6.34	1.88	0.67	0.51
656	3.98	6.03	3.13	0.55	0.43
672	6.81	5.90	2.69	0.61	0.49
688	5.72	4.17	1.45	0.87	0.60
703	6.68	2.79	1.50	1.25	0.60
719	5.96	2.17	1.51	1.47	0.72
734	6.55	1.97	1.32	1.57	0.86
750	6.60	2.51	1.40	1.10	0.59
766	5.56	3.15	1.34	0.97	0.37
781	4.14	3.29	1.08	0.81	0.39
797	3.74	2.70	1.39	0.92	0.41
813	2.39	2.47	2.24	0.96	0.34
828	1.97	2.23	2.18	0.63	0.40
844	2.11	1.82	1.55	0.75	0.36
859	1.80	1.54	1.50	0.79	0.24
875	1.37	1.80	1.04	0.64	0.18
891	1.11	1.92	1.07	0.76	0.23
906	1.22	2.56	1.39	0.86	0.53
922	1.41	2.77	1.47	0.83	0.60
938	1.14	1.86	1.47	0.62	0.30
953	1.06	1.43	1.37	0.57	0.25
969	1.25	1.21	1.47	0.40	0.30
984	1.09	1.23	1.59	0.37	0.30
1000	0.80	2.31	1.71	0.58	0.29
1016	0.91	1.98	1.68	0.63	0.26
1031	1.11	1.69	1.11	0.63	0.20
1047	1.04	1.71	0.74	0.54	0.18
1063	0.94	1.87	0.91	0.52	0.18
1078	0.85	2.00	1.07	0.86	0.20
1094	1.08	2.28	1.35	1.12	0.26
1109	1.51	2.17	1.27	0.87	0.31
1125	1.58	2.08	1.27	0.46	0.32
1141	1.33	2.78	1.89	0.42	0.27
1156	1.14	2.64	1.53	0.51	0.23
1172	1.07	1.61	0.98	0.68	0.21
1188	1.41	1.57	1.20	0.58	0.21
1203	2.05	1.98	1.47	0.35	0.23
1219	1.86	2.12	1.32	0.36	0.26
1234	1.48	2.19	1.24	0.38	0.28
1250	1.49	3.07	1.24	0.50	0.32
1266	1.56	3.47	1.72	0.56	0.29
1281	2.07	3.03	2.21	0.50	0.25
1297	2.31	1.83	2.01	0.45	0.22
1313	2.18	1.98	1.55	0.46	0.24
1328	1.97	2.99	1.40	0.42	0.25
1344	1.83	2.98	1.39	0.38	0.26
1359	2.93	2.55	1.51	0.43	0.32
1375	3.93	1.85	1.82	0.50	0.33
1391	3.50	1.80	1.94	0.46	0.32
1406	2.63	1.63	1.98	0.38	0.28
1422	2.58	2.29	2.43	0.43	0.29
1438	3.51	3.50	3.71	0.56	0.31
1453	4.72	3.26	3.57	0.61	0.29
1469	5.09	2.15	2.73	0.69	0.27
1484	4.75	1.39	2.68	0.69	0.24
1500	4.14	1.69	2.67	0.61	0.23
1516	4.00	2.52	3.75	0.62	0.27
1531	3.65	2.94	4.26	0.60	0.25
1547	4.67	2.68	3.28	0.58	0.23
1563	5.79	2.25	2.46	0.59	0.31
1578	5.23	1.29	2.28	0.71	0.34
1594	3.17	1.03	2.69	0.81	0.27
1609	3.25	2.02	4.92	0.61	0.22
1625	3.49	1.91	4.96	0.37	0.26
1641	2.69	1.06	3.06	0.38	0.34
1656	2.07	1.22	3.18	0.45	0.35
1672	1.86	1.58	2.73	0.49	0.35
1688	1.75	1.35	3.30	0.51	0.30
1703	1.65	0.89	5.41	0.48	0.22
1719	1.43	1.12	5.77	0.53	0.21
1734	1.17	1.14	3.49	0.50	0.26
1750	1.31	0.97	2.69	0.38	0.33
1766	1.57	0.90	3.35	0.39	0.34
1781	1.31	0.82	4.18	0.38	0.30
1797	1.08	0.72	4.48	0.37	0.25
1813	0.89	0.68	4.56	0.38	0.21
1828	0.93	0.95	3.84	0.38	0.28
1844	1.17	0.99	2.54	0.48	0.41
1859	1.14	0.78	1.81	0.48	0.48
1875	0.78	0.70	2.25	0.33	0.44
1891	0.78	0.72	2.20	0.32	0.40
1906	0.73	0.62	4.12	0.71	0.39
1922	0.66	0.52	6.34	0.94	0.36
1938	0.57	0.60	4.07	0.55	0.26
1953	0.58	0.66	1.85	0.31	0.21
1969	0.65	0.59	1.86	0.29	0.19
1984	0.74	0.64	2.06	0.30	0.20
2000	0.75	0.68	1.86	0.28	0.20
2016	0.69	0.57	3.19	0.33	0.20
2031	0.86	0.52	6.13	0.42	0.25
2047	0.93	0.56	4.61	0.34	0.26
2063	0.88	0.50	2.14	0.24	0.23
2078	0.83	0.54	2.41	0.19	0.21
2094	0.85	0.70	3.21	0.19	0.13
2109	0.84	0.64	3.37	0.22	0.17
2125	0.86	0.55	3.18	0.29	0.17
2141	0.82	0.51	4.43	0.52	0.19
2156	0.77	0.53	5.41	0.63	0.21
2172	0.84	0.52	3.75	0.35	0.18
2188	0.95	0.61	3.05	0.26	0.14
2203	0.94	0.74	3.03	0.28	0.14
2219	0.87	0.74	3.20	0.32	0.14
2234	0.86	0.57	3.03	0.30	0.14
2250	0.94	0.47	2.87	0.23	0.15
2266	0.95	0.64	3.23	0.47	0.13
2281	0.94	0.73	3.74	0.64	0.13
2297	0.90	0.73	3.68	0.39	0.14
2313	0.79	0.91	3.45	0.25	0.12
2328	0.87	0.89	2.69	0.26	0.11
2344	0.79	0.80	2.10	0.28	0.11
2359	0.67	0.97	2.19	0.25	0.22
2375	0.82	0.83	2.35	0.23	1.82
2391	0.94	0.97	2.25	0.23	3.88
2406	0.97	1.27	2.26	0.26	2.93
2422	0.93	1.47	2.44	0.24	0.73
2438	1.05	1.58	1.78	0.21	0.18
2453	1.32	1.43	1.36	0.21	0.15
2469	1.89	1.03	1.29	0.19	0.14
2484	2.26	0.79	1.52	0.21	0.13
2500	2.37	1.09	1.59	0.22	0.16
2516	1.97	1.36	1.47	0.17	1.01
2531	1.78	1.37	1.41	0.15	2.45
2547	2.42	1.44	1.68	0.30	2.11
2563	2.55	1.31	1.55	0.32	0.62
2578	2.58	0.99	1.30	0.17	0.12
2594	2.44	1.20	1.22	0.15	0.15
2609	2.19	1.36	1.29	0.14	0.17
2625	1.67	1.87	1.58	0.14	0.16
2641	1.22	1.85	1.66	0.14	0.16
2656	1.34	1.25	1.30	0.14	0.42
2672	1.78	1.14	1.19	0.16	2.24
2688	1.63	1.10	1.31	0.27	3.51
2703	1.28	0.99	1.08	0.46	1.98
2719	1.08	0.82	1.20	0.38	0.34
2734	0.89	1.06	1.56	0.17	0.15
2750	0.92	1.28	1.36	0.13	0.18
2766	1.08	0.95	1.07	0.13	0.17
2781	0.95	0.77	0.86	0.13	0.14
2797	0.95	0.71	0.67	0.12	0.14
2813	0.83	0.73	0.65	0.14	0.46
2828	0.75	0.68	0.71	0.15	2.91
2844	0.88	0.71	1.07	0.21	5.02
2859	0.80	0.80	1.04	0.48	3.10
2875	0.55	0.79	0.87	0.50	0.55
2891	0.55	0.58	0.93	0.24	0.11
2906	0.64	0.49	0.97	0.16	0.11
2922	0.76	0.66	1.02	0.14	0.10
2938	0.97	0.68	0.96	0.14	0.10
2953	0.98	0.81	1.42	0.14	0.10
2969	0.78	0.99	1.85	0.15	0.11
2984	0.65	0.93	1.49	0.14	0.69
3000	0.60	0.67	1.04	0.13	3.37
3016	0.57	0.35	1.09	0.25	4.86
3031	0.66	0.66	0.98	0.51	2.50
3047	0.68	0.67	0.92	0.44	0.34
3063	0.62	0.65	0.79	0.19	0.08
3078	0.63	0.67	0.87	0.13	0.08
3094	0.57	0.71	0.98	0.12	0.08
3109	0.46	0.80	0.71	0.13	0.08
3125	0.47	0.44	0.66	0.14	0.08
3141	0.45	0.49	0.65	0.13	0.08
3156	0.40	0.67	0.55	0.13	0.37
3172	0.48	0.61	0.61	0.14	3.43
3188	0.45	0.55	0.68	0.24	7.54
3203	0.45	0.44	0.83	0.93	5.86
3219	0.62	0.61	0.97	1.31	1.44
3234	0.67	0.52	0.89	0.68	0.09
3250	0.68	0.36	0.86	0.19	0.08
3266	0.63	0.42	1.00	0.19	0.09
3281	0.57	0.45	1.02	0.21	0.09
3297	0.62	0.49	1.08	0.21	0.09
3313	0.74	0.41	1.20	0.20	0.10
3328	0.81	0.48	1.45	0.21	0.11
3344	0.83	0.65	1.61	0.19	0.44
3359	0.84	0.45	1.81	0.18	5.08
3375	0.79	0.45	2.02	0.21	12.31
3391	0.73	0.57	1.71	0.26	10.45
3406	0.84	0.59	1.74	0.27	2.91
3422	0.83	0.50	1.76	0.28	0.15
3438	1.20	0.48	1.85	0.28	0.11
3453	1.60	0.56	1.70	0.24	0.11
3469	1.33	0.53	1.63	0.25	0.08
3484	1.13	0.53	2.05	0.26	0.09
3500	1.35	0.54	2.26	0.23	0.10
3516	1.19	0.56	2.20	0.31	0.09
3531	1.27	0.59	2.09	0.34	0.10
3547	1.36	0.48	1.77	0.31	0.62
3563	1.23	0.37	1.31	0.29	4.83
3578	1.17	0.38	1.14	0.27	9.48
3594	1.20	0.51	1.28	0.23	6.66
3609	0.91	0.62	1.27	0.21	1.44
3625	0.78	0.46	1.20	0.22	0.12
3641	1.02	0.35	1.17	0.24	0.10
3656	1.12	0.37	1.33	0.22	0.10
3672	1.09	0.39	0.99	0.17	0.10
3688	1.09	0.40	0.71	0.18	0.07
3703	0.80	0.43	0.85	0.18	0.07
3719	0.63	0.41	0.78	0.17	0.08
3734	0.72	0.40	0.64	0.19	0.09
3750	0.84	0.38	0.60	0.19	0.12
3766	0.89	0.32	0.67	0.22	1.86
3781	0.89	0.27	0.84	0.27	6.58
3797	0.72	0.26	0.86	0.25	7.60
3813	0.80	0.30	0.53	0.21	3.08
3828	0.88	0.28	0.62	0.21	0.28
3844	0.85	0.26	0.79	0.23	0.08
3859	0.90	0.27	0.80	0.25	0.07
3875	0.92	0.26	0.74	0.22	0.08
3891	0.66	0.28	0.62	0.20	0.08
3906	0.60	0.30	0.49	0.17	0.08
3922	0.68	0.29	0.58	0.20	0.07
3938	0.74	0.26	0.65	0.19	0.07
3953	0.79	0.26	0.54	0.28	0.07
3969	0.90	0.29	0.53	0.34	0.08
3984	0.70	0.29	0.69	0.34	0.72
4000	0.52	0.31	0.97	0.36	4.68
4016	0.64	0.36	0.92	0.33	8.25
4031	0.68	0.31	0.58	0.26	5.21
4047	0.62	0.30	0.50	0.23	0.98
4063	0.67	0.27	0.52	0.26	0.11
4078	0.65	0.29	0.47	0.25	0.09
4094	0.54	0.31	0.48	0.21	0.09
4109	0.36	0.25	0.56	0.20	0.08
4125	0.35	0.23	0.59	0.20	0.08
4141	0.45	0.27	0.56	0.18	0.08
4156	0.42	0.37	0.51	0.17	0.09
4172	0.49	0.40	0.47	0.23	0.10
4188	0.55	0.34	0.44	0.33	0.11
4203	0.57	0.26	0.44	0.41	0.09
4219	0.59	0.27	0.37	0.39	0.07
4234	0.61	0.29	0.43	0.32	0.06
4250	0.59	0.27	0.63	0.27	0.07
4266	0.56	0.27	0.66	0.20	0.08
4281	0.59	0.25	0.53	0.17	0.08
4297	0.59	0.20	0.57	0.23	0.07
4313	0.56	0.21	0.64	0.27	0.08
4328	0.52	0.25	0.67	0.24	0.07
4344	0.38	0.27	0.76	0.28	0.07
4359	0.43	0.27	0.66	0.27	0.07
4375	0.44	0.28	0.54	0.21	0.07
4391	0.38	0.30	0.67	0.23	0.07
4406	0.40	0.26	0.60	0.26	0.07
4422	0.36	0.29	0.73	0.26	0.07
4438	0.47	0.34	0.83	0.21	0.09
4453	0.53	0.32	0.74	0.17	0.07
4469	0.48	0.26	0.64	0.21	0.06
4484	0.48	0.25	0.62	0.28	0.07
4500	0.44	0.25	0.57	0.29	0.07
4516	0.38	0.32	0.79	0.21	0.06
4531	0.34	0.29	0.83	0.17	0.05
4547	0.43	0.25	0.72	0.21	0.05
4563	0.46	0.27	0.67	0.23	0.05
4578	0.34	0.28	0.44	0.18	0.05
